Product Name,Product ID,Category,How likely are you to recommend this product?,"Complete - Yes/No. If No, please provide rationale","Comments"
COOK by ASDA Cook Moroccan Inspired Seasoning 54g,100110837,"SEASONINGS, HERBS & SPICES",6,Yes,1 colleague has used this before for cooking and has found very similar to other spices like cajun/cook by chicken. However these spices are alot cheaper to have in than the packet brand ones i.e. nandos etc. Maybe have recipe suggestions on spice aisle with a list of other 'asda' ingredients to make dishes rather than using the packet on bake ones.
ASDA Extra Special Extra Special 8 Sicilian Orange & Dark Chocolate Cookies 200g,100333230,BISCUIT BARREL,10 = Extremely likely,Yes,1 word yummy ! never had these before will re purchase 
The BAKERY at ASDA The Bakery White Chocolate Party Cake x14 = 966g,100000780,CAKES,4,Yes,"10 reviews on ths and consesnus was - deosn't serve 14, not worth �12 and really should be half that. All saying sponge quite dry and fairly bland. Maybe a sauce through the middle as icing in middle had little to no flavour, Only 4 stars on top . Needed a drink after. Everyone saying same for sponge. and maybe rasperry through it. Top icing is not bad. "
ASDA Cheese & Onion Pasties 4 x 130g (520g),100166355,PIES,7,Yes,"10 year old rated it a 10/10, but the average family rating as 7/10. A nice entry level pasty with good flavour and moist pastry. "
LITTLE ANGELS by ASDA Day & Night Soothers 6-18m,100145223,BABY ACCESSORIES,N/A,No - Other (provide comments),10/10 based on price and packaging would recomnend. Don?t have a Baby so couldn?t test!
ES COOKIES TCHOC 200G,100333226,BISCUIT BARREL,10 = Extremely likely,Yes,10/10 colleagues preferred  in comparison to maynards triple choc cookies - highly recommend 
Exceptional By Asda All-Butter Cheddar & Roasted Onion Bites 75g,100155435,BISCUIT BARREL,10 = Extremely likely,Yes,"10/10 everyone loved them,nice light snack and rated 10/10 they finished the lot !"
ASDA ASDA Sweet Chilli Sauce 300g,100513758,RPFF,10 = Extremely likely,Yes,10/10 Great product - good after taste - better than branded competiton- ie Sharwoods
Exceptional by ASDA Madagascan Dark Chocolate 100g,100120277,BLOCK CHOCOLATE,10 = Extremely likely,Yes,"10/10 really good with good flavour and not overpowering,better than any branded chocolate "
ASDA 10 Waffle Cones,100139147,ICE CREAM,10 = Extremely likely,Yes,"10/10 This one suprised everyone how good it tasted,colleague that tasted said they will start buying as they didnt know how good they were  "
Exceptional by ASDA Cod Fishcakes with a Creamy Parsley Sauce 290g,100174393,FISH,10 = Extremely likely,Yes,"10/10 very good filled,good portion taste,colleague were very impressed"
ASDA Exceptional by Hand Cooked Mushroom & Roasted Garlic Crisps 150g,100527807,CRISPS & SNACKS,10 = Extremely likely,Yes,12 colleagues tasted the product all of the loved this item 
The BAKERY at ASDA The Bakery 18 Milk Choc Chip Mini Cookies 171g,100002417,CAKES,0 - Not at all likely,Yes,"18 pack only contained 16 cookies. No longer part of a multibuy so �2.50 seems overly expensive. Really firm, lack flavour and very few chocolate chips"
JE BACON UNSMKD 2x500g,100548813,BACON,2,Yes,"1kg for �1 is exceptional value for families, however the bacon was very thinly sliced which made it hard to separate and was full of water and salt - not much taste to the bacon other than salt. Packaging shouts value, in a negative way. Easy to find. I am concerned for the money the producer makes on this if we can sell 1kg for �1"
JE RED ONIONS  1KG,100168709,VEGETABLES,N/A,No - Other (provide comments),"1kg onions!! - no use for this amount, would be wasteful to buy"
Bistro by ASDA Cauliflower Cheese 400g,100171803,READY MEALS,8,Yes,2 collegues really like it and filling 
ASDA Choco Hoops 500g,100115990,I-CEREALS,9,Yes,2 Empty bowls from the children is a success. Great price and would definitely re-purchase.
Bistro by ASDA Lasagne Al Forno 400g,100171837,READY MEALS,7,Yes,2 portion comes as part of the bistro meal deal and works out better value - handy for a one person ready meal I suppose. Tasted nice but not something I would normally buy
The BAKERY at ASDA 8 Pains Au Chocolat 360g,100000319,BAKERY OCCASIONS,10 = Extremely likely,Yes,28p each great price individual packaging a real positive point. More chocolate than other brands. Even better warm might be an idea to have as a serving suggestion. 
ASDA Apples 1.5kg,100511557,TOP FRUIT,6,Yes,3 bruised apples in the pack was disapointing - remainder good quality 
LITTLE ANGELS by ASDA Toddler's Cutlery Set 12m+,100145229,BABY ACCESSORIES,6,Yes,"3 colleagues sampled this product and it looked great, packaging was clear with clear instructions. baby safe, easy to use and did not break when tested against hard objects."
ASDA SAUSAGE WORLD 684G,100556884,SAUSAGE,6,Yes,"3 Sausages - different flavours. This split the opinion of the family with some preferring different ones... Bacon & Maple Syrup was the standout. Overall, these sausages were not as good quality as our Exceptional range and shrunk in size when cooked with a lot of water coming out. I would always buy the Exceptional range of sausage over buying this. Additionally, the packaging is also misleading with colours denoting flavours - but the colour of the sausage doesn't correlate, making it confusing"
LITTLE ANGELS by ASDA Organic Sweet Potato Cottage Pie 10+m 190g,100105841,BABY FOOD FORMULA,8,Yes,30 seconds in the microwave made it super easy to make.  The baby enjoyed one mouthful (which is par for the course at the moment)!
